Date,Algerian dinar(DZD),Australian dollar(AUD),Botswana pula(BWP),Brazilian real(BRL),Brunei dollar(BND),Canadian dollar(CAD),Chilean peso(CLP),Chinese yuan(CNY),Czech koruna(CZK),Danish krone(DKK),Euro(EUR),Indian rupee(INR),Israeli New Shekel(ILS),Japanese yen(JPY),Korean won(KRW),Kuwaiti dinar(KWD),Malaysian ringgit(MYR),Mauritian rupee(MUR),Mexican peso(MXN),New Zealand dollar(NZD),Norwegian krone(NOK),Omani rial(OMR),Peruvian sol(PEN),Philippine peso(PHP),Polish zloty(PLN),Qatari riyal(QAR),Russian ruble(RUB),Saudi Arabian riyal(SAR),Singapore dollar(SGD),South African rand(ZAR),Swedish krona(SEK),Swiss franc(CHF),Thai baht(THB),Trinidadian dollar(TTD),U.A.E. dirham(AED),U.K. pound(GBP),U.S. dollar(USD),Uruguayan peso(UYU)
10-Aug-2021,0.00519682,0.516281,0.0632497,0.134903,,0.561675,0.000894514,0.108679,0.03253,0.111012,0.825627,0.00946878,0.218265,0.00638394,0.000615144,2.34117,,0.0164457,0.0350352,0.490995,0.0788717,,0.173483,0.0139844,0.180892,0.1935,0.00957033,0.187824,0.51908,0.0475579,0.0808601,0.764258,0.0210471,0.104166,0.191788,0.976286,0.70434,0.0161365
11-Aug-2021,0.0051983,0.517317,0.0630961,0.135556,0.518485,0.563717,0.000903733,0.108698,0.0325192,0.111075,0.8261,0.00947208,0.219075,0.00637015,0.00061383,2.34253,0.166329,0.0164457,0.0353322,0.493912,0.0790164,1.83351,0.172748,0.0139894,0.180082,0.193677,0.00953074,0.187996,0.518485,0.0476566,0.0807634,0.763424,0.0211187,0.10406,0.191963,0.974147,0.704984,
12-Aug-2021,0.00519627,0.518598,0.0633724,0.134519,0.519008,0.562411,0.000910904,0.108715,0.0325447,0.111143,0.826588,0.00947931,0.218609,0.00638095,0.000609643,2.3405,0.166247,0.0164365,0.0354004,0.495291,0.0796671,1.83131,0.171909,0.0139679,0.180206,0.193445,0.00957137,0.18777,0.519008,0.0478737,0.0810705,0.7635,,0.103964,,0.975302,0.704138,0.0162457
13-Aug-2021,0.00519422,0.516562,0.063083,0.134187,0.518294,0.562611,0.000911063,0.10865,0.0326267,0.111378,0.828316,0.00947616,0.218446,0.00637439,0.000607517,,0.166226,0.0164514,0.0354502,0.493329,0.0798352,,0.172943,0.0139712,0.180832,,0.00958256,,0.518294,0.0474581,0.0810334,0.763654,0.0211547,0.104332,,0.971872,0.704051,0.0162493
16-Aug-2021,,,,,,,,0.108466,,,0.827189,,,0.00641771,,,,,,,,,,,,,,,,,,0.769001,,,,0.973908,0.702675,
17-Aug-2021,,,,,,,,0.108509,,,0.827559,,,0.00643447,,,,,,,,,,,,,,,,,,0.771741,,,,0.969975,0.703288,
18-Aug-2021,,0.511577,0.0630749,0.132924,0.518045,0.557995,0.000892515,0.108749,0.0324769,0.111092,0.826176,0.00948514,,0.00643194,0.000599837,2.34213,0.166528,0.0164549,0.0352186,0.484937,0.0792725,1.83289,0.172394,0.0139394,0.181351,0.193612,0.0095932,0.187933,0.518045,,0.0807262,0.769964,0.0212267,,0.191899,0.969169,0.704748,0.0163405
19-Aug-2021,,0.507204,0.0626422,0.130216,0.517064,0.551462,0.000895545,0.108651,0.0323592,0.110943,0.825071,,0.217524,0.00641417,0.000601543,2.34284,0.166375,0.0164576,0.0350655,0.483361,0.0782429,1.83467,0.17193,0.0140105,0.179837,0.193799,0.00951352,,0.517064,0.0465188,0.0804642,0.769071,0.021115,0.104459,0.192084,0.965593,0.70543,0.0163271
20-Aug-2021,0.00519767,0.503664,0.062349,0.130114,0.517785,0.549241,0.000893825,0.10864,0.0322481,0.110814,0.824094,0.00948714,,0.00642731,0.000601195,,0.166613,0.0164482,0.0346095,0.48121,0.0777451,,0.171927,0.0139787,0.179666,,0.00949524,,0.517785,0.0461098,0.0800426,0.770267,0.0211725,0.10451,,0.96182,0.706104,0.0163355
23-Aug-2021,0.00519689,0.504838,0.06225,0.131331,0.518332,0.555893,0.000896435,0.108621,0.0323803,0.11108,0.826099,0.00949133,0.218261,0.00641827,0.000599119,2.34214,0.166682,0.0164475,0.0345738,0.482561,0.0787735,1.83351,0.171779,0.0139811,0.18027,0.193677,0.00951823,0.187995,0.518332,0.046415,0.0802284,0.769212,0.0211434,0.104173,0.191963,0.964135,0.704983,0.0164083
24-Aug-2021,0.00519623,0.50953,0.0625467,0.13287,0.51913,0.558657,0.000899215,0.108742,0.0323975,0.111188,0.826913,0.00950061,0.21888,0.00641723,0.000599962,2.34083,0.166988,0.016465,0.0347029,0.485371,0.0795082,1.83187,0.172256,0.0140226,0.180206,0.193504,0.0095252,0.187828,0.51913,0.04674,0.0808915,0.771093,0.0212597,0.104198,0.191792,0.966305,0.704355,0.0164527
25-Aug-2021,0.00519914,0.510154,0.062669,0.134228,0.519627,0.558005,0.000900247,0.108743,0.0323864,0.111124,0.826386,0.00947717,0.218205,0.00641065,0.000602865,2.34013,0.167057,0.0164804,0.0346984,0.488396,0.0795654,1.83133,0.172079,0.0140383,0.181159,0.193447,0.00954867,0.187772,0.519627,0.0440306,0.0810341,0.770653,0.0214424,0.103967,0.191735,0.966159,0.704146,
